'=$CALCULOS.C11'	'=ENTERO(A1*20)/20'	'=A1-B1+0,0001'	'=BUSCARV(A1;TA2T01_strappings;2)'	'=BUSCARV(C1;TA2T01_fractions;2)'	'=D1+E1'		0,070	'=BUSCARV(H1;TA2T01_strappings;2)'	'=H1+0,05'	'=BUSCARV(J1;TA2T01_strappings;2)'	'=K1-I1'	'=H1*20-ENTERO(H1*20)'	'=REDONDEAR(I1+L1*M1;0)'	'=SI(H1*20-ENTERO(H1*20)=0;I1;N1)'
'=$CALCULOS.C12'	'=ENTERO(A2*20)/20'	'=A2-B2+0,0001'	'=BUSCARV(A2;TA2T01_strappings;2)'	'=BUSCARV(C2;TA2T01_fractions;2)'	'=D2+E2'		0,050	'=BUSCARV(H2;TA2T01_strappings;2)'	'=H2+0,05'	'=BUSCARV(J2;TA2T01_strappings;2)'	'=K2-I2'	'=H2*20-ENTERO(H2*20)'	'=REDONDEAR(I2+L2*M2;0)'	'=SI(H2*20-ENTERO(H2*20)=0;I2;N2)'
3,45	' 103.036 '	'=B124-B123'	'=C123-C124'											
3,50	' 104.624 '	'=B125-B124'	'=C124-C125'											
3,55	' 106.213 '	'=B126-B125'	'=C125-C126'											
3,60	' 107.801 '	'=B127-B126'	'=C126-C127'											
3,65	' 109.390 '	'=B128-B127'	'=C127-C128'											
3,70	' 110.978 '	'=B129-B128'	'=C128-C129'											
3,75	' 112.567 '	'=B130-B129'	'=C129-C130'											
3,80	' 114.155 '	'=B131-B130'	'=C130-C131'											
3,85	' 115.744 '	'=B132-B131'	'=C131-C132'											
3,90	' 117.332 '	'=B133-B132'	'=C132-C133'											
3,95	' 118.921 '	'=B134-B133'	'=C133-C134'											
4,00	' 120.509 '	'=B135-B134'	'=C134-C135'											
4,05	' 122.098 '	'=B136-B135'	'=C135-C136'											
4,10	' 123.686 '	'=B137-B136'	'=C136-C137'											
4,15	' 125.275 '	'=B138-B137'	'=C137-C138'											
4,20	' 126.863 '	'=B139-B138'	'=C138-C139'											
4,25	' 128.452 '	'=B140-B139'	'=C139-C140'											
4,30	' 130.040 '	'=B141-B140'	'=C140-C141'											
4,35	' 131.629 '	'=B142-B141'	'=C141-C142'											
4,40	' 133.217 '	'=B143-B142'	'=C142-C143'											
4,45	' 134.806 '	'=B144-B143'	'=C143-C144'											
4,50	' 136.394 '	'=B145-B144'	'=C144-C145'											
4,55	' 137.983 '	'=B146-B145'	'=C145-C146'											
4,60	' 139.571 '	'=B147-B146'	'=C146-C147'											
4,65	' 141.160 '	'=B148-B147'	'=C147-C148'											
4,70	' 142.748 '	'=B149-B148'	'=C148-C149'											
4,75	' 144.337 '	'=B150-B149'	'=C149-C150'											
4,80	' 145.925 '	'=B151-B150'	'=C150-C151'											
4,85	' 147.514 '	'=B152-B151'	'=C151-C152'											
4,90	' 149.102 '	'=B153-B152'	'=C152-C153'											
4,95	' 150.691 '	'=B154-B153'	'=C153-C154'											
5,00	' 152.279 '	'=B155-B154'	'=C154-C155'											
5,05	' 153.868 '	'=B156-B155'	'=C155-C156'											
5,10	' 155.456 '	'=B157-B156'	'=C156-C157'											
5,15	' 157.045 '	'=B158-B157'	'=C157-C158'											
5,20	' 158.633 '	'=B159-B158'	'=C158-C159'											
5,25	' 160.222 '	'=B160-B159'	'=C159-C160'											
5,30	' 161.810 '	'=B161-B160'	'=C160-C161'											
5,35	' 163.399 '	'=B162-B161'	'=C161-C162'											
5,40	' 164.987 '	'=B163-B162'	'=C162-C163'											
5,45	' 166.576 '	'=B164-B163'	'=C163-C164'											
5,50	' 168.164 '	'=B165-B164'	'=C164-C165'											
5,55	' 169.753 '	'=B166-B165'	'=C165-C166'											
5,60	' 171.341 '	'=B167-B166'	'=C166-C167'											
5,65	' 172.930 '	'=B168-B167'	'=C167-C168'											
5,70	' 174.518 '	'=B169-B168'	'=C168-C169'											
5,75	' 176.107 '	'=B170-B169'	'=C169-C170'											
5,80	' 177.695 '	'=B171-B170'	'=C170-C171'											
5,85	' 179.284 '	'=B172-B171'	'=C171-C172'											
5,90	' 180.872 '	'=B173-B172'	'=C172-C173'											
5,95	' 182.461 '	'=B174-B173'	'=C173-C174'											
6,00	' 184.049 '	'=B175-B174'	'=C174-C175'											
6,05	' 185.638 '	'=B176-B175'	'=C175-C176'											
6,10	' 187.226 '	'=B177-B176'	'=C176-C177'											
6,15	' 188.815 '	'=B178-B177'	'=C177-C178'											
6,20	' 190.403 '	'=B179-B178'	'=C178-C179'											
6,25	' 191.992 '	'=B180-B179'	'=C179-C180'											
6,30	' 193.580 '	'=B181-B180'	'=C180-C181'											
6,35	' 195.169 '	'=B182-B181'	'=C181-C182'											
6,40	' 196.757 '	'=B183-B182'	'=C182-C183'											
6,45	' 198.346 '	'=B184-B183'	'=C183-C184'											
6,50	' 199.934 '	'=B185-B184'	'=C184-C185'											
6,55	' 201.523 '	'=B186-B185'	'=C185-C186'											
6,60	' 203.111 '	'=B187-B186'	'=C186-C187'											
6,65	' 204.700 '	'=B188-B187'	'=C187-C188'											
6,70	' 206.288 '	'=B189-B188'	'=C188-C189'											
6,75	' 207.877 '	'=B190-B189'	'=C189-C190'											
6,80	' 209.465 '	'=B191-B190'	'=C190-C191'											
6,85	' 211.054 '	'=B192-B191'	'=C191-C192'											
6,90	' 212.642 '	'=B193-B192'	'=C192-C193'											
6,95	' 214.231 '	'=B194-B193'	'=C193-C194'											
7,00	' 215.819 '	'=B195-B194'	'=C194-C195'											
7,05	' 217.408 '	'=B196-B195'	'=C195-C196'											
7,10	' 218.996 '	'=B197-B196'	'=C196-C197'											
7,15	' 220.585 '	'=B198-B197'	'=C197-C198'											
7,20	' 222.173 '	'=B199-B198'	'=C198-C199'											
7,25	' 223.762 '	'=B200-B199'	'=C199-C200'											
7,30	' 225.350 '	'=B201-B200'	'=C200-C201'											
7,35	' 226.939 '	'=B202-B201'	'=C201-C202'											
7,40	' 228.527 '	'=B203-B202'	'=C202-C203'											
7,45	' 230.116 '	'=B204-B203'	'=C203-C204'											
7,50	' 231.704 '	'=B205-B204'	'=C204-C205'											
7,55	' 233.293 '	'=B206-B205'	'=C205-C206'											
7,60	' 234.881 '	'=B207-B206'	'=C206-C207'											
7,65	' 236.470 '	'=B208-B207'	'=C207-C208'											
7,70	' 238.058 '	'=B209-B208'	'=C208-C209'											
7,75	' 239.647 '	'=B210-B209'	'=C209-C210'											
7,80	' 241.235 '	'=B211-B210'	'=C210-C211'											
7,85	' 242.824 '	'=B212-B211'	'=C211-C212'											
7,90	' 244.412 '	'=B213-B212'	'=C212-C213'											
7,95	' 246.001 '	'=B214-B213'	'=C213-C214'											
8,00	' 247.589 '	'=B215-B214'	'=C214-C215'											
8,05	' 249.178 '	'=B216-B215'	'=C215-C216'											
8,10	' 250.766 '	'=B217-B216'	'=C216-C217'											
8,15	' 252.355 '	'=B218-B217'	'=C217-C218'											
8,20	' 253.943 '	'=B219-B218'	'=C218-C219'											
8,25	' 255.532 '	'=B220-B219'	'=C219-C220'											
8,30	' 257.120 '	'=B221-B220'	'=C220-C221'											
8,35	' 258.709 '	'=B222-B221'	'=C221-C222'											
8,40	' 260.297 '	'=B223-B222'	'=C222-C223'											
8,45	' 261.886 '	'=B224-B223'	'=C223-C224'											
8,50	' 263.474 '	'=B225-B224'	'=C224-C225'											
8,55	' 265.063 '	'=B226-B225'	'=C225-C226'											
8,60	' 266.651 '	'=B227-B226'	'=C226-C227'											
8,65	' 268.240 '	'=B228-B227'	'=C227-C228'											
8,70	' 269.828 '	'=B229-B228'	'=C228-C229'											
8,75	' 271.417 '	'=B230-B229'	'=C229-C230'											
8,80	' 273.005 '	'=B231-B230'	'=C230-C231'											
8,85	' 274.594 '	'=B232-B231'	'=C231-C232'											
8,90	' 276.182 '	'=B233-B232'	'=C232-C233'											
8,95	' 277.771 '	'=B234-B233'	'=C233-C234'											
9,00	' 279.359 '	'=B235-B234'	'=C234-C235'											
9,05	' 280.948 '	'=B236-B235'	'=C235-C236'											
9,10	' 282.536 '	'=B237-B236'	'=C236-C237'											
9,15	' 284.125 '	'=B238-B237'	'=C237-C238'											
9,20	' 285.713 '	'=B239-B238'	'=C238-C239'											
9,25	' 287.302 '	'=B240-B239'	'=C239-C240'											
9,30	' 288.890 '	'=B241-B240'	'=C240-C241'											
9,35	' 290.479 '	'=B242-B241'	'=C241-C242'											
9,40	' 292.067 '	'=B243-B242'	'=C242-C243'											
9,45	' 293.656 '	'=B244-B243'	'=C243-C244'											
9,50	' 295.244 '	'=B245-B244'	'=C244-C245'											
9,55	' 296.833 '	'=B246-B245'	'=C245-C246'											
9,60	' 298.421 '	'=B247-B246'	'=C246-C247'											
9,65	' 300.010 '	'=B248-B247'	'=C247-C248'											
9,70	' 301.598 '	'=B249-B248'	'=C248-C249'											
9,75	' 303.187 '	'=B250-B249'	'=C249-C250'											
9,80	' 304.775 '	'=B251-B250'	'=C250-C251'											
9,85	' 306.364 '	'=B252-B251'	'=C251-C252'											
9,90	' 307.952 '	'=B253-B252'	'=C252-C253'											
9,95	' 309.541 '	'=B254-B253'	'=C253-C254'											
10,00	' 311.129 '	'=B255-B254'	'=C254-C255'											
10,05	' 312.718 '	'=B256-B255'	'=C255-C256'											
10,10	' 314.306 '	'=B257-B256'	'=C256-C257'											
10,15	' 315.895 '	'=B258-B257'	'=C257-C258'											
10,20	' 317.483 '	'=B259-B258'	'=C258-C259'											
10,25	' 319.072 '	'=B260-B259'	'=C259-C260'											
10,30	' 320.660 '	'=B261-B260'	'=C260-C261'											
10,35	' 322.249 '	'=B262-B261'	'=C261-C262'											
10,40	' 323.837 '	'=B263-B262'	'=C262-C263'											
10,45	' 325.426 '	'=B264-B263'	'=C263-C264'											
10,50	' 327.014 '	'=B265-B264'	'=C264-C265'											
10,55	' 328.603 '	'=B266-B265'	'=C265-C266'											
10,60	' 330.191 '	'=B267-B266'	'=C266-C267'											
10,65	' 331.780 '	'=B268-B267'	'=C267-C268'											
10,70	' 333.368 '	'=B269-B268'	'=C268-C269'											
10,75	' 334.957 '	'=B270-B269'	'=C269-C270'											
10,80	' 336.545 '	'=B271-B270'	'=C270-C271'											
10,85	' 338.134 '	'=B272-B271'	'=C271-C272'											
10,90	' 339.722 '	'=B273-B272'	'=C272-C273'											
10,95	' 341.311 '	'=B274-B273'	'=C273-C274'											
